title,siglum,century,provenance,srclink,cursus,num_century
"Aachen (Aix-la-Chapelle), Domarchiv, G 20",D-AAm G 20,13th century (2nd half),Aachen,https://cantusdatabase.org/source/123714,Secular,13
"Berlin, Staatsbibliothek Preussischer Kulturbesitz, Mus. 40047",D-B Mus. 40047,11th century,Quedlinburg,https://cantusdatabase.org/source/123688,Secular,11
D-B Theol. Lat. Qu. 149 Breviarium monasticum,D-B Theol. Lat. Qu. 149,,Lubiń,https://cantusplanus.pl/source/22868,,
"Köln, Erzbischöfliche Diözesan- und Dombibliothek, 1161",D-KNd 1161,12th century,Köln,https://cantusdatabase.org/source/601861,Monastic,12
"Köln, Erzbischöfliche Diözesan- und Dombibliothek, 215",D-KNd 215,12th century,Würzburg,https://cantusdatabase.org/source/123741,Monastic,12
"Mainz, Bischöfliches Dom- und Diözesanmuseum, A",D-MZb A,15th century (1425-1450),Mainz,https://cantusdatabase.org/source/123620,Secular,15
"München, Franziskanerkloster St. Anna - Bibliothek, 12o Cmm 1",D-Ma 12o Cmm 1,13th century (1225-1250),Italy,https://cantusdatabase.org/source/123673,Secular,13
"München, Bayerische Staatsbibliothek, Clm 4303",D-Mbs Clm 4303,,Augsburg,https://cantusdatabase.org/source/123681,Monastic,
"München, Bayerische Staatsbibliothek, Clm 4306",D-Mbs Clm 4306,16th century (1500-1525),Augsburg,https://cantusdatabase.org/source/123684,Monastic,16
D-Sl : Cod.Bibl.fol.065,D-Sl Cod.Bibl.fol.065,9th century,Allemagne,http://musmed.eu/source/14387,,9
"Wolfenbüttel, Herzog August Bibliothek, Cod. Guelf. 29 Helmst. (Heinemann-Nr. 32)",D-W Cod. Guelf. 29 Helmst. (Heinemann-Nr. 32),16th century,Hilwartshausen,https://cantusdatabase.org/source/123715,Secular,16
"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449 8o [01] I",DK-Kk Gl. Kgl. S. 3449 8o [01] I,16th century (1575-1600),Augsburg,https://cantusdatabase.org/source/123689,Secular,16
"E-BAR, Archivo Diocesano de Barbastro, Antifonario s.s.","E-BAR, s.s.",15th century,Barbastro,https://musicahispanica.eu/source/27599,cathedral,15
E-Bbc (Barcelona) M 1327,E-Bbc M 1327,15th century,Convento de las clarisas de la Santísima Trinidad (Valencia),https://musicahispanica.eu/source/20238,,15
E-Bbc (Barcelona) M 705,E-Bbc M 705,14th century,Sant Cugat (Barcelona),https://musicahispanica.eu/source/20228,,14
E-Bbc (Barcelona) M 888,E-Bbc M 888,15th century,Monasterio no identificado de la Orden de los Cartujos,https://musicahispanica.eu/source/20232,,15
E-Bbc (Barcelona) Ms. 2545,E-Bbc Ms. 2545,15th century,Cataluña o sur de Francia (?),https://musicahispanica.eu/source/20248,,15
E-Bbc (Barcelona) Ms. 619,E-Bbc Ms. 619,14th century,Catedral de Vic (Barcelona),https://musicahispanica.eu/source/20245,,14
E-Gs (Girona) ms. 45,"E-Gs ms. 45 (olim Sant Feliu, 20)",12th century,Colegiata de Sant Feliu de Girona,https://musicahispanica.eu/source/22303,,12
E-H (Huesca) Ms. 2,E-H Ms. 2,12th century,Auch,https://musicahispanica.eu/source/22495,cathedral,12
E-H (Huesca) Ms. 7,E-H Ms. 7 (ant. 5),13th century,Huesca,https://musicahispanica.eu/source/20425,cathedral,13
E-PAMan (Pamplona) Partitura n. 116,E-PAMan Partitura n. 116,12th century,,https://musicahispanica.eu/source/126590,,12
E-SI (Santo Domingo de Silos) MS 9,E-SI MS 9,13th century,Monasterio de San Salvador de Celanova (Ourense),https://musicahispanica.eu/source/19722,Monastic,13
"Toledo, Catedral - Archivo y Biblioteca Capitulares, 44.1",E-Tc 44.1,11th century (1000-1025),Tavèrnoles,https://cantusdatabase.org/source/123638,Secular,11
"Toledo, Catedral - Archivo y Biblioteca Capitulares, 44.2",E-Tc 44.2,11th century (1075-1100),Toledo,https://cantusdatabase.org/source/123639,Secular,11
E-VI (Vic) Mss. 113-114,E-VI Mss. 113-114,14th century,,https://musicahispanica.eu/source/22951,,14
"Albi, Bibliothèque municipale Rochegude, 44",F-AI 44,,Albi,https://cantusdatabase.org/source/123679,,
"Arras, Bibliothèque municipale, 465 (CGM 893)",F-AS 465 (CGM 893),14th century,Arras,https://cantusdatabase.org/source/123593,Monastic,14
"Cambrai, Bibliothèque municipale, 38 (olim 40)",F-CA 38 (olim 40),13th century (1225-1250),Cambrai,https://cantusdatabase.org/source/123601,Secular,13
"Cambrai, Bibliothèque municipale, Impr. XVI C 4",F-CA Impr. XVI C 4,16th century (1500-1525),Cambrai,https://cantusdatabase.org/source/123602,Secular,16
F-Collection privée : Mont-Renaud,F-Collection privée Mont-Renaud,10th century,"France, Château du Mont-Renaud",http://musmed.eu/source/9475,,10
"Paris, Bibliothèque nationale, Latin 1085",F-Pn Latin 1085,10th century (975-1000),St. Martial,https://cantusdatabase.org/source/123663,,11
"Paris, Bibliothèque nationale, Latin 1090",F-Pn Latin 1090,12th century (1175-1200),Marseille,https://cantusdatabase.org/source/123627,Secular,12
"Paris, Bibliothèque nationale, Latin 12044",F-Pn Latin 12044,12th century,St-Maur-des-Fossés,https://cantusdatabase.org/source/123628,Monastic,12
"Paris, Bibliothèque nationale, Latin 1240",F-Pn Latin 1240,10th century,St-Martial,https://cantusdatabase.org/source/123629,,10
"Paris, Bibliothèque nationale, Latin 15181",F-Pn Latin 15181,14th century,Paris,https://cantusdatabase.org/source/123631,Secular,14
F-Pn : Lat. 17296,F-Pn Lat. 17296,12th century,Abbaye royale de Saint-Denis,http://musmed.eu/source/13486,Monastic,12
F-Pn : Lat. 17991,F-Pn Lat. 17991,11th century,Jacobins de la rue Saint-Jacques,http://musmed.eu/source/13509,Romanum,11
F-Pn : NAL 1236,F-Pn NAL 1236,12th century,"France, Nevers, Cathédrale de Nevers",http://musmed.eu/source/13535,Romanum,12
"Paris, Bibliothèque nationale, NAL 1411",F-Pn NAL 1411,12th century (2nd half),Milan,https://cantusdatabase.org/source/123677,Monastic,12
"Paris, Bibliothèque nationale, NAL 1535",F-Pn NAL 1535,13th century,Sens,https://cantusdatabase.org/source/123633,Secular,13
"Tours, Bibliothèque municipale, 149",F-TOm 149,13th century,Tours,https://cantusdatabase.org/source/123640,Secular,13
"Valenciennes, Bibliothèque municipale, 114",F-VAL 114,12th century,Saint-Amand,https://cantusdatabase.org/source/123642,Monastic,12
GB-Lbl (London) Add MS 30848,GB-Lbl Add MS 30848,11th century,Santo Domingo de Silos,https://musicahispanica.eu/source/74655,Monastic,11
GB-Lbl (London) Add MS 30850,GB-Lbl Add MS 30850,11th century,Ascribed to Santo Domingo de Silos (see 'Description' above),https://musicahispanica.eu/source/20199,Monastic,11
"Oxford, Bodleian Library, MS. Canon. Liturg. 202",GB-Ob MS. Canon. Liturg. 202,13th century,Germany,https://cantusdatabase.org/source/123687,,13
"Oxford, Bodleian Library, MS. Laud Misc. 284",GB-Ob MS. Laud Misc. 284,12th century,Würzburg,https://cantusdatabase.org/source/123707,Secular,12
"Worcester, Cathedral - Music Library, F. 160 (olim 1247) (with hymnal)",GB-WO F. 160 (olim 1247) (with hymnal),13th century (1225-1250),Worcester,https://cantusdatabase.org/source/123647,Monastic,13
"Worcester, Cathedral - Music Library, F. 160 (olim 1247) (facsimile)",GB-WO F. 160 (olim 1247) (facsimile),13th century (1225-1250),Worcester,https://cantusdatabase.org/source/123646,Monastic,13
"Budapest, Egyetemi Könyvtár (University Library), lat. 118",H-Bu lat. 118,14th century,Franciscan,https://cantusdatabase.org/source/123597,Secular,14
"Dubrovnik, Franjevački Samostan (Franciscan Monastery), Cod. C Nr. 4",HR-Hf Cod. C Nr. 4,15th century (2nd half),Venice,https://cantusdatabase.org/source/123719,Secular,15
"Assisi, Biblioteca Comunale, 693",I-Ac 693,13th century,Italy,https://cantusdatabase.org/source/123670,Secular,13
"Assisi, Biblioteca Comunale, 694",I-Ac 694,13th century,Italy,https://cantusdatabase.org/source/123669,Secular,13
"Assisi, Cattedrale San Rufino - Archivio e Biblioteca, 5",I-Ad 5,13th century (1225-1250),Italy,https://cantusdatabase.org/source/123675,Secular,13
"Benevento, Biblioteca capitolare, V 19",I-BV V 19,12th century,Benevento,https://cantusdatabase.org/source/123595,Secular,12
"Chiavenna, Tesoro della Collegiata di S. Lorenzo - Museo Capitolare, s.c.",I-CHV s.c.,11th century,Chiavenna,https://cantusdatabase.org/source/123604,Secular,11
"Firenze (Florence), Arcivescovado - Biblioteca, s.c.",I-Far s.c.,12th century,Firenze,https://cantusdatabase.org/source/123607,Secular,12
"Firenze (Florence), Biblioteca Medicea-Laurenziana, Conv. sopp. 560",I-Fl Conv. sopp. 560,12th century,Vallombrosa,https://cantusdatabase.org/source/123608,Monastic,12
"Lucca, Biblioteca Capitolare Feliniana e Biblioteca Arcivescovile, 601",I-Lc 601,12th century,Pozzeveri,https://cantusdatabase.org/source/123680,Monastic,12
"Monza, Biblioteca capitolare, 15/79",I-MZ 15/79,12th century,Pavia,https://cantusdatabase.org/source/123626,Secular,12
"Naples, Biblioteca Nazionale Vittorio Emanuele III, vi. E. 20",I-Nn vi. E. 20,13th century,Italy,https://cantusdatabase.org/source/123674,Secular,13
"Piacenza, Archivio e Biblioteca Capitolare della Cattedrale, cod. 65",I-PCd cod. 65,13th century (1200-1225),Piacenza,https://cantusdatabase.org/source/123634,Secular,13
"Roma, Biblioteca Vallicelliana, C.5",I-Rv C.5,11th century,Rome,https://cantusdatabase.org/source/123635,Monastic,11
"Vercelli, Biblioteca Capitolare, CLXX",I-VCd CLXX,,Arras,https://cantusdatabase.org/source/123766,Secular,
"Print (Multiple Copies), MA Impr. 1537 (Münster Antiphoner)",Cantus MA Impr. 1537,16th century (1525-1550),Muenster,https://cantusdatabase.org/source/123724,Secular,16
"Utrecht, Universiteitsbibliotheek, Ms. 406 (shelfmark 3 J 7)",NL-Uu Ms. 406 (shelfmark 3 J 7),12th century,Utrecht,https://cantusdatabase.org/source/123641,Secular,12
P-AR (Arouca) Museu Regional de Arte Sacra do Mosteiro de Arouca Res. Ms. 021,P-AR Res. Ms. 021,c. 1200,"Arouca, Mosteiro de Santa Maria",https://pemdatabase.eu/source/62867,Monastic,13
P-BRs (Braga) Arquivo da Sé Ms. 032,P-BRs Ms. 032,16th century (first quarter),"Braga, Catedral",https://pemdatabase.eu/source/47990,Secular,16
"PL-GD Mar. F 408 Antiphonarium, prima pars",PL-GD Mar. F 408,16th century,St. Mary Church in Gdańsk,https://cantusplanus.pl/source/14397,,16
"Kielce, Biblioteka Kapituły Katedralnej, Ms. 1",PL-KIk Ms. 1,14th century (1350-1375),Kielce,https://cantusdatabase.org/source/123736,Secular,14
"Kraków, Klastor OO. Karmelitów na Piasku (Carmelite Convent), Ms.2 (rkp. Perg. 14)",PL-Kkar Ms.2 (rkp. Perg. 14),,Kraków,https://cantusdatabase.org/source/123708,Secular,
"Kraków, Klastor OO. Karmelitów na Piasku (Carmelite Convent), Ms.5 (rkp. Perg. 13)",PL-Kkar Ms.5 (rkp. Perg. 13),15th century,Kraków,https://cantusdatabase.org/source/123711,Secular,15
PL-Klk 1 Antyfonarz kielecki,PL-Klk 1,14th century,Kielce,https://cantusplanus.pl/source/4557,,14
PL-STAb 1 Antiphonarium,PL-STAb ms. 1,16th century,Staniątki,https://cantusplanus.pl/source/21018,,16
"Wroclaw, Biblioteka Uniwersytecka, I F 401",PL-WRu I F 401,13th century (1275-1300),Lubiąż,https://cantusdatabase.org/source/589069,Monastic,13
"Wroclaw, Biblioteka Uniwersytecka, Ms. R 503",PL-WRu Ms. R 503,14th century (2nd half),Wrocław,https://cantusdatabase.org/source/123756,Secular,14
"PL-Wn  12720 V Antyfonarz opata Mścisława z Tyńca, pars de tempore",PL-Wn  rps 12720 V,15th century,Tyniec,https://cantusplanus.pl/source/13720,,15
"Ljubljana, Nadškofijski arhiv (Archiepiscopal Archives), 18 (olim 17)",SI-Lna 18 (olim 17),15th century (1475-1500),Kranj,https://cantusdatabase.org/source/123618,Secular,15
SK-BRsa (Bratislava) Slovenský národný archív - Antiphonary of Bratislava IV,SK-BRsa SNA 2,15th century,Bratislava,https://cantus.sk/source/2284,,15
"Istanbul, Topkapı Sarayı Müzesi, Deissmann 42 (The Istanbul Antiphoner)",TR-Itks Deissmann 42,,Esztergom,https://cantusdatabase.org/source/123706,Secular,
TR-Itks 42 – Antiphonale Strigoniense,TR-Itks 42,14th century,Hungary,https://hun-chant.eu/source/1471,,14
"Chicago, The Newberry Library, 24",US-Cn 24,13th century,Italy,https://cantusdatabase.org/source/123671,Secular,13
"Stanford, Stanford University - Green Library - Department of Special Collections, MSS CODEX 0734 FF",US-STu MSS CODEX 0734 FF,17th century (1675-1700),Mexico,https://cantusdatabase.org/source/1000019,,17
"Città del Vaticano, Biblioteca Apostolica Vaticana, Cappella Sistina 27",V-CVbav Cappella Sistina 27,,Rome,https://cantusdatabase.org/source/123605,,
P-BRs (Braga) Arquivo da Sé Ms. 028,P-BRs Ms. 028,16th century (first quarter),"Braga, Catedral",https://pemdatabase.eu/source/48438,Secular,16
P-Ln (Lisboa) Biblioteca Nacional de Portugal RES. 253 P.,P-Ln RES. 253 P.,1528,,https://pemdatabase.eu/source/97935,,16
A-KN CCl 0272 Antiphonarium (Fragm.),A-KN CCl. 272,12th century,Austria/Germany,https://austriamanus.org/source/4399,,12
"Vorau, Stiftsbibliothek, 287 (olim XXIX)",A-VOR 287 (olim XXIX),14th century,Vorau,https://cantusdatabase.org/source/123643,Secular,14
"Wien, Diözesanarchiv, C-11",A-Wda C-11,15th century,Kirnberg,https://cantusdatabase.org/source/123645,,15
Cz-Pu (Praha) XIV A 19,CZ-Pu Pu XIV A 19,14th century,Prague,https://cantusbohemiae.cz/source/4478,,14
"Bamberg, Staatsbibliothek, Msc.Lit.25 (olim Ed.IV.11)",D-BAs Msc.Lit.25 (olim Ed.IV.11),13th century,Bamberg,https://cantusdatabase.org/source/123594,Secular,13
"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449 8o [02] II",DK-Kk Gl. Kgl. S. 3449 8o [02] II,16th century (1575-1600),Augsburg,https://cantusdatabase.org/source/123690,Secular,16
E-Bbc (Barcelona) M 663,E-Bbc M 663,15th century,Barcelona (?),https://musicahispanica.eu/source/20227,,15
E-Bbc (Barcelona) Ms. 2322,E-Bbc Ms. 2322,15th century,Orden de los predicadores (dominico),https://musicahispanica.eu/source/20244,,15
E-E (San Lorenzo de El Escorial) L. III. 3.,E-E L. III. 3.,12th century,San Juan de la Peña,https://musicahispanica.eu/source/20154,,12
E-H (Huesca) Ms. 9,E-H Ms. 9 (ant. 25),13th century,Huesca,https://musicahispanica.eu/source/20420,cathedral,13
"Salamanca, Catedral - Archivo Musical, 6",E-SA 6,14th century,Salamanca,https://cantusdatabase.org/source/123650,Secular,14
"Paris, Bibliothèque nationale, NAL 1412",F-Pn NAL 1412,12th century (1175-1200),Milan,https://cantusdatabase.org/source/123678,Monastic,12
"Aberystwyth, Llyfrgell Genedlaethol Cymru (National Library of Wales), 20541 E",GB-AB 20541 E,14th century (1300-1325),Wales,https://cantusdatabase.org/source/123592,Secular,14
GB-Lbl (London) Add MS 30847,GB-Lbl Add MS 30847,11th century,Silos,https://musicahispanica.eu/source/72835,Monastic,11
"Montecassino, Monumento Nazionale di Montecassino - Biblioteca, 542",I-MC 542,12th century,MonteCassino,https://cantusdatabase.org/source/123625,Secular,12
P-AR (Arouca) Museu Regional de Arte Sacra do Mosteiro de Arouca Res. Ms. 025,P-AR Res. Ms. 025, c. 1200,"Alcobaça, Mosteiro de Santa Maria?",https://pemdatabase.eu/source/46683,Monastic,13
"P-BRad (Braga) Arquivo Distrital Pasta de fragmentos, 244 (olim Miscelânia de pergaminhos nº 12) [Previously, caixa 243, nº 1]",P-BRad Pasta 244,12th - 13th century,,https://pemdatabase.eu/source/47069,,12
P-Cua (Coimbra) Arquivo Distrital e da Universidade IV-3ª Gav. 44 (13),P-Cua IV-3ª Gav. 44 (13),early 13th cent.,,https://pemdatabase.eu/source/97437,unknown,13
P-EVpc (Évora) Palácio Duques do Cadaval 000,P-EVpc 000,late 16th - early 17th cent.,,https://pemdatabase.eu/source/74864,Monastic,16
"PL-PŁsem MsEPl 12 Antyfonarz z Płocka, pars de tempore",PL-PŁsem MsEPl 12,15th century,Płock,https://cantusplanus.pl/source/14457,,15
SK-BRsa (Bratislava) Slovenský národný archív - Antiphonary of Bratislava IIb,SK-BRsa SNA 4,15th century,Bratislava,https://cantus.sk/source/3192,,15
SK-Bra (Bratislava) Antiphonary of Bratislava III EC Lad.6,SK-Bra BAIII ECLad.6,15th century,Buda / Bratislava,https://cantus.sk/source/14018,,15
"Città del Vaticano, Biblioteca Apostolica Vaticana, San Pietro B.79",V-CVbav San Pietro B.79,12th century,Rome,https://cantusdatabase.org/source/123661,Secular,12
"Città del Vaticano, Biblioteca Apostolica Vaticana, lat. 8737",V-CVbav lat. 8737,,Italy,https://cantusdatabase.org/source/123676,Secular,
Antifonario de la Santa Cruz de la Serós,Antifonario s.s.,12th century,Monasterio de Santa Cruz de la Serós (Huesca),https://musicahispanica.eu/source/59988,Monastic,12
"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, CCl 1018",A-KN CCl 1018,14th century,Klosterneuburg,https://cantusdatabase.org/source/123616,Secular,14
"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, CCl 589",A-KN CCl 589,14th century,Klosterneuburg,https://cantusdatabase.org/source/123656,Secular,14
"Wien, Diözesanarchiv, C-10",A-Wda C-10,15th century,Kirnberg,https://cantusdatabase.org/source/123644,,15
CZ-Pu (Praha) VI E 13,CZ-Pu VI E 13,12th century,St George's Convent in Prague,https://cantusbohemiae.cz/source/2152,,12
CZ-Pu (Praha) XII D 9,CZ-Pu XII D 9,14th century,St George's Convent in Prague,https://cantusbohemiae.cz/source/9187,,14
"Fulda, Hessische Landesbibliothek, Aa 55",D-FUl Aa 55,14th century,Rasdorf,https://cantusdatabase.org/source/123685,Secular,14
"Benevento, Biblioteca capitolare, V 20",I-BV V 20,12th century,Benevento,https://cantusdatabase.org/source/123596,Secular,12
"Zutphen, Stadsarchief en Stedelijke Bibliotheek, 6",NL-ZUa 6,15th century (1st half),Zutphen,https://cantusdatabase.org/source/123648,,15
SK-MO (Modra) Magistrát mesta Modry 5147 Register der Abgaben für das Winzerrecht 1626,SK-MO 5147,15th century,Slovakia,https://cantus.sk/source/180,,15
V-CVbav : Urb. lat. 0602,V-CVbav Urb. lat. 0602,11th century,"Italie, Montecassino",http://musmed.eu/source/17334,,11
E-E (San Lorenzo de El Escorial) L. III. 4.,E-E L. III. 4.,12th century,Monasterio benedictino en Aragón?,https://musicahispanica.eu/source/20155,Monastic,12
E-LUc (Lugo) s.s.,E-LUc s.s.,13th century,Lugo?,https://musicahispanica.eu/source/22257,cathedral,13
CZ-Pu (Praha) VI G 3a,CZ-Pu VI G 3a,14th century,St George's Convent in Prague,https://cantusbohemiae.cz/source/9147,,14
SK-Sk (Spišska Kapitula) Antiphonale Scepusiense,SK-Sk 2,15th century,Slovakia,https://cantus.sk/source/6777,,15
CZ-Pn (Praha) XII A 21,CZ-Pn (Praha) XII A 21,15th century,Kolín,https://cantusbohemiae.cz/source/37034,,15
"Den Haag, Koninklije Bibliotheek, 70 E 4",NL-DHk 70 E 4,12th century,Tongeren,https://cantusdatabase.org/source/123657,Secular,12
"Wolfenbüttel, Herzog August Bibliothek, Cod. Guelf. 28 Helmst. (Heinemann-Nr. 31)",D-W Cod. Guelf. 28 Helmst. (Heinemann-Nr. 31),16th century (1500-1525),Hilwartshausen,https://cantusdatabase.org/source/123716,Secular,16
"Gent, Universiteitsbibliotheek, Hs BKT.006 (Tsgrooten Antiphoner)",B-Gu Hs BKT.006,16th century (1500-1525),Tongerloo,https://cantusdatabase.org/source/702611,Secular,16
CZ-Pu (Praha) XII A 9,CZ-Pu (Praha) XII A 9,15th century,Bohemia,https://cantusbohemiae.cz/source/39629,,15
"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449 8o [13] XIII",DK-Kk Gl. Kgl. S. 3449 8o [13] XIII,16th century (1575-1600),Augsburg,https://cantusdatabase.org/source/123701,Secular,16
"PL-PŁsem MsEPl 12 Antyfonarz z Płocka, pars de sanctis",PL-PŁsem MsEPl 12,15th century,Płock,https://cantusplanus.pl/source/14458,,15
"Ljubljana, Nadškofijski arhiv (Archiepiscopal Archives), 19 (olim 18)",SI-Lna 19 (olim 18),,Kranj,https://cantusdatabase.org/source/123659,Secular,
E-MO (Montserrat) Ms. 72,E-MO Ms. 72,12th century,"Sant Romà dels Bons (Andorra). Posiblemente, el manuscrito fue escrito en la Seo d’Urgell.",https://musicahispanica.eu/source/22268,,12
"Paris, Bibliothèque nationale, Latin 15182",F-Pn Latin 15182,14th century,Paris,https://cantusdatabase.org/source/123632,Secular,14
"Dubrovnik, Franjevački Samostan (Franciscan Monastery), Cod. D Nr. 5",HR-Hf Cod. D Nr. 5,15th century (2nd half),Venice,https://cantusdatabase.org/source/123720,Secular,15
P-BRs (Braga) Arquivo da Sé Ms. 034,P-BRs Ms. 034,1510-1515,"Braga, Catedral",https://pemdatabase.eu/source/47612,,16
A-Wn Cod. 1812 – Breviarium Strigoniense,A-Wn Cod. 1812,15th century,Hungary,https://hun-chant.eu/source/1371,,15
"Toronto, University of Toronto - Thomas Fisher Rare Book Library, MSS 09700",CDN-Ttfl MSS 09700,15th century (1st half),Firenze,https://cantusdatabase.org/source/694888,Secular,15
"Mainz, Bischöfliches Dom- und Diözesanmuseum, B",D-MZb B,15th century (1425-1450),Mainz,https://cantusdatabase.org/source/123621,Secular,15
"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449 8o [04] IV",DK-Kk Gl. Kgl. S. 3449 8o [04] IV,16th century (1575-1600),Augsburg,https://cantusdatabase.org/source/123692,Secular,16
F-SOM : Ms 0252,F-SOM Ms 0252,11th century,Saint-Bertin,http://musmed.eu/source/14203,,11
"Cambridge, University Library, Mm.ii.9 (Barnwell Antiphoner)",GB-Cu Mm.ii.9,13th century,Barnwell,https://cantusdatabase.org/source/123603,Secular,13
GB-Lbl (London) Add MS 30849,GB-Lbl Add MS 30849,11th century,Monasterio de Santo Domingo de Silos,https://musicahispanica.eu/source/116088,cathedral,11
Cantus GOTTSCHALK (Gottschalk Antiphoner),Cantus GOTTSCHALK,12th century,Lambach Abbey,https://cantusdatabase.org/source/123609,Monastic,12
